headline,summary,link
Rise in groundwater levels in Hyd after rains in Oct: TGWD data,"As per Telangana Groundwater Department (TGWD) data, following heavy rains in Hyderabad last month, the groundwater levels have recorded a significant rise in October. Telangana's average groundwater level improved to 4.22 metres below ground level (mbgl) in October, compared to 5.38 mbgl in September, 11.28 mbgl in May and 7.92 mbgl in October 2019.",https://www.newindianexpress.com/cities/hyderabad/2020/nov/03/rains-have-a-silver-liningin-recharged-groundwater-levels-in-hyderabad-2218522.amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Pune hospital doctors go on mass leave as a mark of protest,"As many as 69 assistant professors and doctors from BJ Medical College and Sassoon General Hospital have gone on mass leave to protest over various demands, including regularisation of their jobs and hike in salary. One of the assistant professors said that they have sought COVID-19 ""warrior"" status as they have been working tirelessly for the last six months. ",https://www.hindustantimes.com/pune-news/bj-med-college-doctors-go-on-leave-en-masse/story-kLOoeTZvXHUZ8G7OZGDuQK.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
G'gram civic body identifies 14 spots to curb air-pollution in city,"Municipal Corporation of Gurugram (MCG) and Centre for Science and Environment (CSE) have come together to formulate action plans to reduce air-pollution by identifying 14 hotspots across the city. It includes 10 most-polluted sites, three most-congested stretches and the solitary landfill. While Sohna Road is among the most-congested stretches, DLF-4, DLF-5 are among the most-polluted.",https://m.hindustantimes.com/gurugram/mcg-working-on-action-plan-for-14-most-polluted-areas-in-the-city/story-w63bEwEFlqnES4mCxsX9kK_amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
CISF head constable burnt to death after heater catches fire in Delhi,A 43-year-old CISF head constable in Delhi died after he suffered burn injuries due to the heater he was using at the Indira Gandhi Smriti. Police said that the head constable suffered burns after his heater caught fire. Doctors had earlier told the police that the head constable suffered 60% burn injuries and was unfit to give a statement. ,https://m.hindustantimes.com/delhi-news/delhi-cisf-head-constable-dies-of-burn-injuries/story-c511jk5OVB2LzRnN3MEaOM_amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
US man gets 25 yrs in jail for setting fire to 3 Black churches,"A US man has been sentenced to 25 years in prison for setting three historically Black churches on fire, federal prosecutors said on Monday. Holden Matthews had pleaded guilty in February for burning the churches last year. The sentence will be shortened by 18 months for the time he has already spent in jail, the Federal District Judge said. ",https://in.mobile.reuters.com/article/amp/idINKBN27J0J4?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"If elected, I will work with both Democrats and Republicans: Biden","Democratic presidential nominee Joe Biden tweeted that if he is elected as the President of the United States, he would work with both the Democrats and Republicans because ""that's the job of a president"". ""I'm running as a proud Democrat, but I will govern as an American president,"" he added. Voting is underway in the US.",https://twitter.com/JoeBiden/status/1323516509491138562?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
N Korea is building submarine that can fire SLBMs: S Korean lawmaker,"A South Korean lawmaker said that North Korea is building two new submarines, including one capable of firing submarine-launched ballistic missiles (SLBMs). ""One is a modified Romeo Class and the other is a new medium-large size one,"" he added. Last year, North Korea said that it had successfully test-fired a new SLBM from the sea.",https://mobile.reuters.com/article/amp/idUSKBN27J0MC?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
India's Oct trade deficit narrows to $8.78 bn; exports fall 5.4%,"India's trade deficit for October narrowed to $8.78 billion, as against a trade deficit of $11.76 billion a year ago, an improvement by 25.34%, according to government data. The country's exports fell 5.4% to $24.82 billion in October from $26.23 billion in October 2019, while imports fell 11.56% to $33.6 billion. Exports during the April-October period stood at $150.07 billion.",https://www.financialexpress.com/economy/indias-exports-dip-5-4-pc-in-october-to-usd-24-82-bn-govt-data/2120215/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
No increase in service charges by any public sector bank: Govt,"The Finance Ministry has clarified that service charges haven't been increased by any public sector bank. Bank of Baroda had made changes related to number of free cash deposits and withdrawals but it has withdrawn the changes due to COVID-19 pandemic, it said. No service charge is applicable on the 60.04 crore basic savings bank deposit accounts, the ministry added.",https://www.financialexpress.com/money/public-sector-banks-service-charges-savings-current-jan-dhan-account/2120166/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
GST borrowing to meet shortfall must be reasonable: Finance Secy,"Finance Secretary Ajay Bhushan Pandey said that the quantum of borrowing to meet states' GST revenue shortfall has to be ""reasonable"" considering its economic impact. The Centre will continue to request opposition-ruled states, like Kerala, Punjab and West Bengal, to opt for the proposed borrowing plan, he added. So far, 21 states and 3 UTs have opted for the plan. ",https://www.newindianexpress.com/business/2020/nov/03/gst-borrowing-quantum-has-to-be-reasonable-will-continue-to-request-states-to-join-finsecy-2218760.amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
