headline,summary,link
"Human trials of Covaxin, India’s first Covid-19 vaccine, to begin soon: All you need to know - Hindustan Times","Tue, 07 Jul 2020 05:13:12 GMT",https://news.google.com/__i/rss/rd/articles/CBMipQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9odW1hbi10cmlhbHMtb2YtY292YXhpbi1pbmRpYS1zLWZpcnN0LWNvdmlkLTE5LXZhY2NpbmUtdG8tYmVnaW4tc29vbi1hbGwteW91LW5lZWQtdG8ta25vdy9zdG9yeS1QQmlyZ2oxNVptNFVtR0trejVWbVJMLmh0bWzSAacBaHR0cHM6Ly9tLmhpbmR1c3RhbnRpbWVzLmNvbS9pbmRpYS1uZXdzL2h1bWFuLXRyaWFscy1vZi1jb3ZheGluLWluZGlhLXMtZmlyc3QtY292aWQtMTktdmFjY2luZS10by1iZWdpbi1zb29uLWFsbC15b3UtbmVlZC10by1rbm93L3N0b3J5LVBCaXJnajE1Wm00VW1HS2t6NVZtUkxfYW1wLmh0bWw?oc=5
Brazil President Jair Bolsonaro Tests Positive For Coronavirus - NDTV,"Tue, 07 Jul 2020 16:25:59 GMT",https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvYnJhemlsLXByZXNpZGVudC1qYWlyLWJvbHNvbmFyby10ZXN0cy1wb3NpdGl2ZS1mb3ItY29yb25hdmlydXMtbmV3cy1hZ2VuY3ktYWZwLTIyNTg3OTLSAYsBaHR0cHM6Ly93d3cubmR0di5jb20vd29ybGQtbmV3cy9icmF6aWwtcHJlc2lkZW50LWphaXItYm9sc29uYXJvLXRlc3RzLXBvc2l0aXZlLWZvci1jb3JvbmF2aXJ1cy1uZXdzLWFnZW5jeS1hZnAtMjI1ODc5Mj9hbXA9MSZha2FtYWktcnVtPW9mZg?oc=5
"As Nepal PM Oli faces calls to step down, China to his rescue? - Times of India","Tue, 07 Jul 2020 17:28:36 GMT",https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS93b3JsZC9zb3V0aC1hc2lhL2FzLW5lcGFsLXBtLW9saS1mYWNlcy1jYWxscy10by1zdGVwLWRvd24tY2hpbmEtdG8taGlzLXJlc2N1ZS9hcnRpY2xlc2hvdy83Njg0MDc5MS5jbXPSAYUBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vd29ybGQvc291dGgtYXNpYS9hcy1uZXBhbC1wbS1vbGktZmFjZXMtY2FsbHMtdG8tc3RlcC1kb3duLWNoaW5hLXRvLWhpcy1yZXNjdWUvYW1wX2FydGljbGVzaG93Lzc2ODQwNzkxLmNtcw?oc=5
Explained: How US govt’s new guidelines for foreign students affect Indians - The Indian Express,"Tue, 07 Jul 2020 11:12:34 GMT",https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9leHBsYWluZWQvdW5pdGVkLXN0YXRlcy1pbnRlcm5hdGlvbmFsLXN0dWRlbnRzLXZpc2Etb25saW5lLWNsYXNzZXMtNjQ5NDA1Ni_SAXJodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZXhwbGFpbmVkL3VuaXRlZC1zdGF0ZXMtaW50ZXJuYXRpb25hbC1zdHVkZW50cy12aXNhLW9ubGluZS1jbGFzc2VzLTY0OTQwNTYvbGl0ZS8?oc=5
"Market Movers: Bajaj twins, IndusInd rock; IT in demand; 'buy’ signals in 90 stocks - Economic Times","Tue, 07 Jul 2020 11:30:12 GMT",https://news.google.com/__i/rss/rd/articles/CBMinwFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9tYXJrZXQtbW92ZXJzLWJhamFqLXR3aW5zLWluZHVzaW5kLXJvY2staXQtaW4tZGVtYW5kLWJ1eS1zaWduYWxzLWluLTkwLXN0b2Nrcy9hcnRpY2xlc2hvdy83NjgzNDc0Ny5jbXPSAZoBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL25ld3MvbWFya2V0LW1vdmVycy1iYWphai10d2lucy1pbmR1c2luZC1yb2NrLWl0LWluLWRlbWFuZC1idXktc2lnbmFscy1pbi05MC1zdG9ja3MvYW1wX2FydGljbGVzaG93Lzc2ODM0NzQ3LmNtcw?oc=5
"After eight days, diesel price hiked again; petrol remains unchanged - Hindustan Times","Tue, 07 Jul 2020 11:31:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9hZnRlci1laWdodC1kYXlzLWRpZXNlbC1wcmljZS1oaWtlZC1hZ2Fpbi1wZXRyb2wtcmVtYWlucy11bmNoYW5nZWQvc3RvcnktSGhnWDljblExRFl5blVZZ3dQTGwyTy5odG1s0gGQAWh0dHBzOi8vbS5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9hZnRlci1laWdodC1kYXlzLWRpZXNlbC1wcmljZS1oaWtlZC1hZ2Fpbi1wZXRyb2wtcmVtYWlucy11bmNoYW5nZWQvc3RvcnktSGhnWDljblExRFl5blVZZ3dQTGwyT19hbXAuaHRtbA?oc=5
Rupee jumps to 74.50 against US dollar but fails to hold gains - Livemint,"Mon, 06 Jul 2020 07:42:10 GMT",https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3J1cGVlLWp1bXBzLXRvLTc0LTUwLWFnYWluc3QtdXMtZG9sbGFyLWJ1dC1mYWlscy10by1ob2xkLWdhaW5zLTExNTk0MDE5NjMxMDA5Lmh0bWzSAYgBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9ydXBlZS1qdW1wcy10by03NC01MC1hZ2FpbnN0LXVzLWRvbGxhci1idXQtZmFpbHMtdG8taG9sZC1nYWlucy9hbXAtMTE1OTQwMTk2MzEwMDkuaHRtbA?oc=5
Covid-19 impact: 50% pay cut at Bajaj Autos Waluj plant in Aurangabad - Business Standard,"Mon, 06 Jul 2020 22:02:04 GMT",https://news.google.com/__i/rss/rd/articles/CBMijQFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9hdXRvbW9iaWxlL2NvdmlkLTE5LWltcGFjdC01MC1wYXktY3V0LWF0LWJhamFqLWF1dG8tcy13YWx1ai1wbGFudC1pbi1hdXJhbmdhYmFkLTEyMDA3MDYwMTY5MV8xLmh0bWzSAZEBaHR0cHM6Ly93YXAuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FydGljbGUtYW1wL2F1dG9tb2JpbGUvY292aWQtMTktaW1wYWN0LTUwLXBheS1jdXQtYXQtYmFqYWotYXV0by1zLXdhbHVqLXBsYW50LWluLWF1cmFuZ2FiYWQtMTIwMDcwNjAxNjkxXzEuaHRtbA?oc=5
OnePlus will reveal its latest smartphone in AR on July 21st - Engadget,"Tue, 07 Jul 2020 17:35:26 GMT",https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS9vbmVwbHVzLW5vcmQtbGF1bmNoLWV2ZW50LWRhdGUtYXVnbWVudGVkLXJlYWxpdHktMTYzODM0OTU5Lmh0bWzSAQA?oc=5
"Editorji Tech Wrap: Poco M2 Pro launched, TikTok to exit Hong Kong & more - Hindustan Times","Tue, 07 Jul 2020 15:16:26 GMT",https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9MFhwbDdnLTc4dFXSAQA?oc=5
